MM:DD:YYYY hh:mm:ss, ElapsedSecs, Device, LeftCount, LeftDuration, RightCount, RightDuration, Shocks, LeftShockProbability, RightShockProbability, BatteryVoltage
1/1/2000 0:00:50,0,0,0,0.00,0,0.00,0,0,0,4.29
1/1/2000 0:00:52,2,0,1,0.37,0,0.00,0,0,0,4.30
1/1/2000 0:00:54,4,0,2,0.58,0,0.00,0,0,0,4.29
1/1/2000 0:00:55,5,0,3,0.74,0,0.00,0,0,0,4.29
1/1/2000 0:00:56,6,0,4,0.95,0,0.00,0,0,0,4.30
1/1/2000 0:00:57,7,0,5,1.16,0,0.00,0,0,0,4.31
1/1/2000 0:00:57,8,0,6,1.32,0,0.00,0,0,0,4.29
1/1/2000 0:00:59,9,0,7,1.53,0,0.00,0,0,0,4.29
1/1/2000 0:01:00,10,0,8,1.74,0,0.00,0,0,0,4.31
1/1/2000 0:01:03,13,0,8,1.74,1,0.32,0,0,0,4.30
1/1/2000 0:01:04,14,0,8,1.74,2,0.84,0,0,0,4.31
1/1/2000 0:01:06,16,0,8,1.74,3,1.53,0,0,0,4.30
1/1/2000 0:01:07,17,0,8,1.74,4,1.85,0,0,0,4.30
1/1/2000 0:01:08,18,0,8,1.74,5,2.27,0,0,0,4.31
1/1/2000 0:01:09,19,0,8,1.74,6,2.64,0,0,0,4.29
1/1/2000 0:01:10,20,0,8,1.74,7,3.00,0,0,0,4.30
1/1/2000 0:01:12,22,0,8,1.74,8,3.22,0,0,0,4.30
1/1/2000 0:01:14,24,0,9,2.11,8,3.22,0,0,0,4.29
1/1/2000 0:01:15,25,0,10,2.43,8,3.22,0,0,0,4.29
1/1/2000 0:01:16,26,0,11,2.64,8,3.22,0,0,0,4.30
1/1/2000 0:01:17,27,0,12,2.85,8,3.22,0,0,0,4.30
1/1/2000 0:01:18,28,0,13,3.06,8,3.22,0,0,0,4.29
1/1/2000 0:01:19,29,0,14,3.38,8,3.22,0,0,0,4.30
1/1/2000 0:01:20,30,0,15,3.64,8,3.22,0,0,0,4.29
1/1/2000 0:02:03,73,0,16,3.91,8,3.22,0,0,0,4.29
1/1/2000 0:02:04,74,0,17,4.17,8,3.22,0,0,0,4.31
1/1/2000 0:02:07,77,0,17,4.17,9,3.53,0,0,0,4.30
1/1/2000 0:02:08,78,0,17,4.17,10,3.80,0,0,0,4.31
1/1/2000 0:02:09,79,0,17,4.17,11,4.06,0,0,0,4.30
1/1/2000 0:02:09,79,0,17,4.17,12,4.27,0,0,0,4.29
1/1/2000 0:02:10,80,0,17,4.17,13,5.30,0,0,0,4.29
1/1/2000 0:02:11,81,0,17,4.17,14,5.57,0,0,0,4.29
1/1/2000 0:02:12,82,0,17,4.17,15,5.78,0,0,0,4.30
1/1/2000 0:02:13,83,0,17,4.17,16,6.04,0,0,0,4.29
1/1/2000 0:02:14,84,0,17,4.17,17,6.36,0,0,0,4.29
